site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PITN 11MAR10 2011.1869 55630 1626 4  -42.8    772  0.885716   -564218 -0.014021    67  0.958375  0.0080 0.000736 0.000684 0.002923 -0.036476  0.100968 -0.021185  -5.1024802623  -42.7930296112    67.95838
PITN 11MAR11 2011.1896 55631 1626 5  -42.8    772  0.886024   -564218 -0.014226    67  0.953624  0.0080 0.000713 0.000666 0.002836 -0.032045  0.075149 -0.054284  -5.1024802641  -42.7930296084    67.95362
PITN 11MAR12 2011.1923 55632 1626 6  -42.8    772  0.884534   -564218 -0.013938    67  0.956067  0.0080 0.000722 0.000670 0.002881 -0.019720  0.113911 -0.057164  -5.1024802615  -42.7930296218    67.95607
PITN 11MAR13 2011.1951 55633 1627 0  -42.8    772  0.882337   -564218 -0.014797    67  0.955510  0.0080 0.000730 0.000679 0.002924 -0.032245  0.081179 -0.056233  -5.1024802693  -42.7930296416    67.95551
PITN 11MAR14 2011.1978 55634 1627 1  -42.8    772  0.884811   -564218 -0.013801    67  0.956580  0.0080 0.000738 0.000717 0.003059 -0.023481  0.037966  0.015808  -5.1024802603  -42.7930296193    67.95658
PITN 11MAR15 2011.2005 55635 1627 2  -42.8    772  0.885203   -564218 -0.014225    67  0.956825  0.0080 0.000732 0.000686 0.002915 -0.066506  0.063709  0.018407  -5.1024802641  -42.7930296158    67.95683
PITN 11MAR16 2011.2033 55636 1627 3  -42.8    772  0.883772   -564218 -0.014155    67  0.956997  0.0080 0.000733 0.000699 0.003047 -0.019696  0.087994 -0.035041  -5.1024802635  -42.7930296287    67.95700
PITN 11MAR17 2011.2060 55637 1627 4  -42.8    772  0.884972   -564218 -0.014368    67  0.954979  0.0080 0.000750 0.000719 0.003089 -0.009641  0.085395 -0.031111  -5.1024802654  -42.7930296179    67.95498
PITN 11MAR18 2011.2088 55638 1627 5  -42.8    772  0.881647   -564218 -0.013957    67  0.960048  0.0080 0.000763 0.000703 0.003045 -0.062462  0.103648 -0.006161  -5.1024802617  -42.7930296479    67.96005
PITN 11MAR19 2011.2115 55639 1627 6  -42.8    772  0.880950   -564218 -0.013587    67  0.959429  0.0080 0.000730 0.000670 0.002885 -0.042453  0.099093 -0.007392  -5.1024802583  -42.7930296541    67.95943
PITN 11MAR20 2011.2142 55640 1628 0  -42.8    772  0.884675   -564218 -0.013534    67  0.960637  0.0080 0.000729 0.000679 0.002907 -0.052782  0.115857 -0.029555  -5.1024802579  -42.7930296206    67.96064
PITN 11MAR21 2011.2170 55641 1628 1  -42.8    772  0.888103   -564218 -0.014217    67  0.961528  0.0080 0.000796 0.000765 0.003423 -0.041702  0.086525  0.000059  -5.1024802640  -42.7930295896    67.96153
PITN 11MAR22 2011.2197 55642 1628 2  -42.8    772  0.882872   -564218 -0.014810    67  0.961194  0.0080 0.000750 0.000734 0.003222 -0.022411  0.103545 -0.042282  -5.1024802694  -42.7930296368    67.96119
PITN 11MAR23 2011.2225 55643 1628 3  -42.8    772  0.882857   -564218 -0.013777    67  0.953230  0.0080 0.000722 0.000670 0.002863 -0.050291  0.090577 -0.047014  -5.1024802601  -42.7930296370    67.95323
PITN 11MAR24 2011.2252 55644 1628 4  -42.8    772  0.883609   -564218 -0.014158    67  0.954712  0.0080 0.000723 0.000660 0.002840 -0.045471  0.098061 -0.010089  -5.1024802635  -42.7930296302    67.95471
PITN 11MAR25 2011.2279 55645 1628 5  -42.8    772  0.882185   -564218 -0.011976    67  0.959777  0.0080 0.000751 0.000690 0.003001 -0.056795  0.097853 -0.052054  -5.1024802438  -42.7930296430    67.95978
PITN 11MAR26 2011.2307 55646 1628 6  -42.8    772  0.884439   -564218 -0.014984    67  0.964005  0.0080 0.000738 0.000676 0.002889 -0.068095  0.095524 -0.030220  -5.1024802710  -42.7930296227    67.96401
PITN 11MAR27 2011.2334 55647 1629 0  -42.8    772  0.886339   -564218 -0.015471    67  0.958062  0.0080 0.000776 0.000700 0.003065 -0.031429  0.103762 -0.027663  -5.1024802754  -42.7930296055    67.95806
